X;Y;Type
3.775972;35.875;Red zones
6.92631;35.494;Red zones
6.91427;35.4971;Red zones
7.12509;35.4509;Red zones
7.10331;35.4665;Red zones
7.8185;36.0778;Red zones
8.3311;36.2343;Red zones
7.82859;36.0733;Red zones
7.96101;36.271421;Red zones
7.82584;36.0679;Red zones
2.853649;33.804208;Red zones
5.77157;19.589754;Red zones
5.76769;19.57789;Red zones
5.51994;22.7825;Red zones
5.76749;19.5718;Red zones
5.5469;22.779;Red zones
3.5059;34.153;Red zones
3.36074;35.35;Red zones
3.01606;35.1313;Red zones
3.22813;34.676478;Red zones
3.268906;34.680222;Red zones
9.548399;28.042999;Red zones
5.88428;35.3719;Red zones
5.79773;35.6589;Red zones
6.16199;35.5632;Red zones
5.6697;35.6935;Red zones
5.8559;35.7499;Red zones
5.6547;35.6773;Red zones
5.97618;35.7904;Red zones
5.684366;35.698863;Red zones
6.128674;35.556154;Red zones
5.905701;35.638066;Red zones
6.1894;35.529824;Red zones
8.06605;35.4245;Red zones
8.1291;35.396403;Red zones
6.418338;33.158869;Red zones
6.07252;33.0967;Red zones
6.9254348;33.5746694;Red zones
3.68714;32.4974;Red zones
3.77996;32.8347;Red zones
3.75085;32.4902;Red zones
3.75883;32.8289;Red zones
2.88218;30.5842;Red zones
3.68823;32.4605;Red zones
-0.29837;27.8739;Red zones
-1.72483;34.8545;Red zones
-1.75389;34.8534;Red zones
-1.78061;34.8395;Red zones
-1.730127;34.834417;Red zones
-1.738944;34.848668;Red zones
1.49179;35.1829;Red zones
0.279256;35.405905;Red zones
0.342917;35.3309;Red zones
0.49072;35.36939;Red zones
0.141417;35.3979;Red zones
0.069367;35.55518;Red zones
-0.22;35.6746;Red zones
0.393722;35.457;Red zones
0.331056;35.4164;Red zones
0.207556;35.359755;Red zones
-0.21377;35.5925;Red zones
0.07294;35.57307;Red zones
0.1314;35.3038;Red zones
-0.26867;35.5827;Red zones
0.34007;35.4169;Red zones
-0.08152;35.5595;Red zones
0.153752;35.40006;Red zones
1.0121;33.679;Red zones
-8.05203;27.7384;Red zones
-7.82891;27.4918;Red zones
2.13534;35.5741;Red zones
-0.72569;33.7155;Red zones
0.24669;35.7108;Red zones
