CELLNAME;NumSteps;InnerRadius;OuterRadius;LATITUDE;LONGITUDE;ANT_HEIGHT;ANT_AZIMUTH
4A16M870_98;5;0;120;36.81116;3.03004;30;290
4A16M871_97;5;0;120;36.80283;2.90144;30;70
4A16M871_98;5;0;120;36.80283;2.90144;30;170
4A16M871_99;5;0;120;36.80283;2.90144;30;280
4A16M900_97;5;0;120;36.61694;2.932309;30;40
4A16M900_98;5;0;120;36.61694;2.932309;30;110
4A16M900_99;5;0;120;36.61694;2.932309;30;190
4A16M944_97;5;0;120;36.73066;3.23542;30;0
4A16M944_98;5;0;120;36.73066;3.23542;30;90
4A16M944_99;5;0;120;36.73066;3.23542;30;260
4A16M945_97;5;0;120;36.77905;3.01496;30;220
4A16M945_98;5;0;120;36.77905;3.01496;30;340
4A16M946_97;5;0;120;36.78178;2.97341;30;110
4A16M946_98;5;0;120;36.78178;2.97341;30;290
4A16SM1812_97;5;0;120;36.740737;3.133785;30;120
4A16SM1812_98;5;0;120;36.740737;3.133785;30;270
4A16X001_100;5;0;120;36.69805;3.207867;30;330
4A16X001_97;5;0;120;36.69805;3.207867;30;30
4A16X001_98;5;0;120;36.69805;3.207867;30;100
4A16X001_99;5;0;120;36.69805;3.207867;30;220
4A16X002_100;5;0;120;36.7014;3.1382;30;60
4A16X002_97;5;0;120;36.7014;3.1382;30;140
4A16X002_98;5;0;120;36.7014;3.1382;30;240
4A16X002_99;5;0;120;36.7014;3.1382;30;340
4A16X003_100;5;0;120;36.7202;3.0812;30;280
4A16X003_97;5;0;120;36.7202;3.0812;30;60
4A16X003_98;5;0;120;36.7202;3.0812;30;210
4A16X003_99;5;0;120;36.7202;3.0812;30;350
4A16X004_97;5;0;120;36.7341;3.053;30;0
4A16X004_98;5;0;120;36.7341;3.053;30;120
4A16X004_99;5;0;120;36.7341;3.053;30;240
4A16X005_100;5;0;120;36.7345;3.0278;30;90
4A16X005_97;5;0;120;36.7345;3.0278;30;340
4A16X005_98;5;0;120;36.7345;3.0278;30;150
4A16X005_99;5;0;120;36.7345;3.0278;30;250
4A16X006_97;5;0;120;36.75465;3.02722;30;10
4A16X006_98;5;0;120;36.75465;3.02722;30;115
4A16X006_99;5;0;120;36.75465;3.02722;30;305
4A16X007_97;5;0;120;36.7429;2.9954;30;50
4A16X007_98;5;0;120;36.7429;2.9954;30;130
4A16X007_99;5;0;120;36.7429;2.9954;30;300
4A16X008_100;5;0;120;36.74714;2.98291;30;330
4A16X008_97;5;0;120;36.74714;2.98291;30;30
4A16X008_98;5;0;120;36.74714;2.98291;30;130
4A16X008_99;5;0;120;36.74714;2.98291;30;260
4A16X009_97;5;0;120;36.7487;2.91568;30;90
4A16X009_98;5;0;120;36.7487;2.91568;30;215
4A16X009_99;5;0;120;36.7487;2.91568;30;310
4A16X010_97;5;0;120;36.7622;2.87417;30;70
4A16X010_98;5;0;120;36.7622;2.87417;30;170
4A16X010_99;5;0;120;36.7622;2.87417;30;240
4A16X011_97;5;0;120;36.7138;3.0964;30;30
4A16X011_98;5;0;120;36.7138;3.0964;30;130
4A16X011_99;5;0;120;36.7138;3.0964;30;310
4A16X012_97;5;0;120;36.79961;3.04028;30;150
4A16X012_98;5;0;120;36.79961;3.04028;30;270
4A16X012_99;5;0;120;36.79961;3.04028;30;70
4A16X013_97;5;0;120;36.78993;3.05949;30;80
4A16X013_98;5;0;120;36.78993;3.05949;30;330
4A16X013_99;5;0;120;36.78993;3.05949;30;210
4A16X014_97;5;0;120;36.78698;3.06284;30;180
4A16X014_98;5;0;120;36.78698;3.06284;30;250
4A16X014_99;5;0;120;36.78698;3.06284;30;320
4A16X015_97;5;0;120;36.78958;3.05319;30;110
4A16X015_98;5;0;120;36.78958;3.05319;30;230
4A16X015_99;5;0;120;36.78958;3.05319;30;330
4A16X016_100;5;0;120;36.785;3.0565;30;320
4A16X016_97;5;0;120;36.785;3.0565;30;90
4A16X016_98;5;0;120;36.785;3.0565;30;180
4A16X016_99;5;0;120;36.785;3.0565;30;240
4A16X017_97;5;0;120;36.78149;3.06171;30;0
4A16X017_98;5;0;120;36.78149;3.06171;30;210
4A16X017_99;5;0;120;36.78149;3.06171;30;280
4A16X018_100;5;0;120;36.77652;3.0598;30;310
4A16X018_97;5;0;120;36.77652;3.0598;30;20
4A16X018_98;5;0;120;36.77652;3.0598;30;170
4A16X018_99;5;0;120;36.77652;3.0598;30;260
